Q_10_25_5_601	Q_10_25_5_602	Q_10_25_5_603	Q_10_25_5_604	Q_10_25_5_605	Q_10_25_5_606
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2374.6307639986	2795.1763570052	0	2375.16966300233	1047.58368008501	2787.36559485461
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2535.3284333606	2792.56963430428	2905.1762647579	2536.54427676677	2691.7579088359	2881.31455466437
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2773.36428845592	2904.28443409654	3071.97339526995	2703.79013382929	2773.3655006787	2789.18526566307
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2906.11481752608	3071.98071891198	3273.2231667116	2901.28878620002	2901.72042263301	2884.85323353473
0	0	0	0	0	0
0	0	0	0	0	0
2532.91771574955	2794.29768425459	0	0	2904.71460434405	2883.25986572299
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	3073.1126555251	0	3071.97085644302	0
0	0	0	0	0	0
0	0	0	0	0	0
2377.52899607567	0	0	2377.72416013636	3072.2563254413	2703.21178131293
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2222.86255883314	2702.92393777678	2527.34744914147	2222.86188919702	2883.2605265488	2189.7425029222
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1446.67118711585	1446.67500308699	2703.606209489	2703.0271365755	0
0	0	0	0	0	0
0	0	0	0	0	0
1894.55694530219	891.641729014188	2349.44639117956	1886.16587585188	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2189.7393190078	2517.05758245317	2517.12285530279	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	819.130917784124	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
753.146063016303	899.505972625715	1295.27427232489	754.378310442645	891.323063263208	821.401932672023
0	0	0	0	0	0
0	0	0	0	0	0
2371.72014585035	2373.93317338557	2536.54429108776	2371.37554164903	2373.87461077289	2535.069856295
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2371.72146363135	2705.10903562595	2703.76760554761	2376.43121240917	2376.49524956171	2703.51094381827
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2531.13410138068	2703.79395813415	2882.33762995757	2531.13747771723	2535.06948450063	2533.33557631887
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2703.78883447957	0	3071.95968481028	2703.76737157425	2703.43302813102	2377.97521322531
0	0	0	0	0	0
0	0	0	0	0	0
2374.84314370247	2377.97674232417	2378.31320946574	2374.82869356581	2702.91845595352	2377.52986712102
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1929.85798805425	2377.82602221802	2540.61483719259	1930.25123976944	2532.63622303518	2532.09118055632
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2377.97676436002	2540.4033216757	2703.21217123521	2377.52959760057	2377.52921461903	2369.66349441244
0	0	0	0	0	0
0	0	0	0	0	0
2068.86823432498	2370.74873952809	2369.30508007981	2068.87436822578	2377.72474744471	2057.53125541985
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2222.82935971633	2369.35889962915	2527.34461827618	2222.83045843705	2532.05098122732	807.068028167861
0	0	0	0	0	0
0	0	0	0	0	0
0	0	2209.45293137347	0	0	767.841460058823
0	0	0	0	0	0
0	0	0	0	0	0
1972.04652536433	807.032652058251	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
802.983242243868	2349.79884260258	0	803.085700142144	2369.23705042728	0
0	0	0	0	0	0
0	0	0	0	0	0
797.258614544741	0	738.096296962205	0	802.930818291196	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	764.587096765089	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
713.51505833965	753.364753280484	817.865338009661	743.158753786528	750.584972635493	754.125730284708
0	0	0	0	0	0
0	0	0	0	0	0
1627.11787386	2533.90994164825	2531.50523419562	1644.41566164204	2372.06664574536	2371.55591910763
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2371.2611390098	2701.90737229864	2702.322644366	2371.69931367234	2371.38360938307	2702.35503395509
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2531.15145007103	2702.10638856265	2882.22218865569	2531.80318606829	2531.1018546129	2530.75094116605
0	0	0	0	0	0
0	0	0	0	0	0
761.281944077881	2530.71243477369	2530.75331562231	1930.86790421464	2536.20877504695	2530.74382993367
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2375.16096619045	2530.77006103637	2370.87414309169	0	2701.97028775185	2370.19774836462
0	0	0	0	0	0
0	0	0	0	0	0
776.130927702933	1929.85888756308	0	2069.3267690379	0	2068.82047877309
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1929.86126268086	2369.77852609337	2532.52438628774	0	2530.73217930492	2215.29725721574
0	0	0	0	0	0
0	0	0	0	0	0
1929.88666547434	2215.46729611518	2215.4795137258	1930.45278298369	1929.86891273063	1972.44598826978
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
2069.43826863903	2215.17443625231	2369.3149819398	2068.68023530799	2369.82472008378	2063.34116650014
0	0	0	0	0	0
0	0	0	0	0	0
1804.13646562094	1972.44112593669	2063.38179130568	1804.1420561092	2068.66036449398	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
