Q_7actions_10_25_5_601	Q_7actions_10_25_5_602	Q_7actions_10_25_5_603	Q_7actions_10_25_5_604	Q_7actions_10_25_5_605	Q_7actions_10_25_5_606	Q_7actions_10_25_5_607
845.318803487959	947.661738793642	947.603057237089	840.415473421162	948.863513066818	840.423311316244	895.795491267034
0	0	0	0	0	0	0
840.415789315186	291.482712973029	291.172356866285	0	947.493957524484	839.190240120546	894.557152047343
840.328359668647	0	896.114243782704	0	0	840.328359668647	0
0	0	0	0	0	0	0
0	0	291.627801597909	271.302370916082	291.172814288312	0	271.376801707525
0	0	0	787.151779960154	895.82655248238	0	0
0	0	0	0	0	0	0
788.269329066539	894.607518724488	0	0	0	692.624261417369	0
787.893957218538	894.550384207717	894.583189211237	788.439752980364	895.780224903578	788.439760220855	840.328589023675
0	0	0	0	0	0	0
0	271.351799321077	271.299658395494	0	0	603.067705997851	562.757830149695
0	0	0	0	840.328359668647	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	840.415891629272	840.528504084641	739.533209301123	840.599129503081	738.176202519508	788.084737228088
0	0	0	0	0	0	0
738.558879581806	0	562.273648401394	690.971936564238	0	645.927580061129	691.027432514635
738.038712339497	839.192564697997	839.216961919074	738.176202706563	840.46212671714	738.038711817124	0
0	0	0	0	0	0	0
645.883766832727	0	0	602.94038283287	562.277625434384	0	0
690.862639375857	788.092658546991	787.893932179402	690.862639375857	788.439767690511	690.718017504226	738.398834906062
0	0	0	0	0	0	0
360.307625013588	0	422.184291010396	390.523601585907	0	0	390.407383298785
690.708509356102	691.07436504387	691.023740435706	738.110170456819	788.108364444286	690.52598420125	738.268467811211
0	0	0	0	0	0	0
690.543712990171	602.935306529617	0	645.820561553115	691.026872320088	0	645.875463686437
690.526137026243	738.347689192173	738.460220256878	690.526004862088	0	690.526004862088	0
0	0	0	0	0	0	0
0	390.585665174968	390.355124660297	0	0	332.62731585108	0
690.526137026243	738.035008647126	738.174636948213	690.526137026243	738.267264625493	690.706331106707	690.675917826106
0	0	0	0	0	0	0
331.568039959812	331.853681779212	305.12133291505	331.605825742023	360.321011217403	331.69790910981	332.036367023315
690.706462288523	690.598579314501	331.849188399876	691.121286826842	738.093368452261	690.579185873183	690.534002568486
0	0	0	0	0	0	0
270.914126340811	0	291.22816575987	252.146931102371	270.924465775665	271.01768404599	270.922102687762
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
830.788673706629	0	0	0	1271.57180056993	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	887.121993537461	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	944.702778190077	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	1002.29953205737	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	335.231185665749	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	313.065302676864	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	335.452623280111	0	0	0	312.962859739033
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
602.933421003111	0	0	0	313.065302615445	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	455.933796176451	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
331.757837010468	279.158568555902	279.600975773258	332.315427085199	305.010964307908	305.044704103842	305.209353863205
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	312.832308911738	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
358.946026418388	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	383.328238167627	383.313267438687	0	0	335.177890521626	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	358.946205837857	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	358.945347782623	0	335.34355174206
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
562.127957157933	335.343551731155	335.45262325444	529.531009799691	335.17785388646	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	375.144302751728	491.260073402978	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
